name, score (%), cost ($)
gpt-sol-5.6-max, 73, 8.39
gpt-sol-5.6-xhigh, 71, 4.70
gpt-sol-5.6-high, 69, 3.47
gpt-sol-5.6-medium, 61, 1.86
gpt-sol-5.6-low, 45, 1.07
claude-fable-5-max, 70, 22
claude-fable-5-xhigh, 70, 13
claude-fable-5-high, 69, 9.18
claude-fable-5-medium, 65, 6.09
claude-fable-5-low, 60, 3.76
gpt-terra-5.6-max, 70, 4.95
gpt-terra-5.6-xhigh, 60, 2.13
gpt-terra-5.6-high, 54, 1.13
gpt-terra-5.6-medium, 35, 0.58
gpt-terra-5.6-low, 24, 0.43
gpt-luna-5.6-max, 67, 3.03
gpt-luna-5.6-xhigh, 57, 1.54
gpt-luna-5.6-high, 44, 0.78
gpt-luna-5.6-medium, 11, 0.22
gpt-luna-5.6-low, 2, 0.07
gpt-5.5-xhigh, 67, 7.23
gpt-5.5-high, 64, 5.10
gpt-5.5-medium, 54, 2.75
gpt-5.5-low, 27, 1.20
gpt-5.5-xhigh, 52, 5.65
claude-opus-4.8-max, 59, 13
claude-opus-4.8-xhigh, 54, 8.01
claude-opus-4.8-high, 52, 4.28
claude-opus-4.8-medium, 49, 3.44
claude-opus-4.8-low, 41, 2.29
claude-sonnet-5-max, 54, 26
claude-sonnet-5-xhigh, 50, 12
claude-sonnet-5-high, 48, 7.43
claude-sonnet-5-medium, 40, 4.08
claude-sonnet-5-low, 31, 2.19
z.ai-glm-5.2-max, 44, 3.92
z.ai-glm-5.2-xhigh, 36, 2.84
kimi-k.27-code, 31, 2.82
